fold,sub_fold,Onset,Apex,Offset,type
s15,15_0401girlcrashing,557,572,608,macro-expression
s15,15_0401girlcrashing,2854,2862,2871,macro-expression
s15,15_0402beatingpregnantwoman,2155,2163,2171,macro-expression
s15,15_0402beatingpregnantwoman,3363,3371,3383,macro-expression
s15,15_0402beatingpregnantwoman,3380,3386,3407,macro-expression
s15,15_0402beatingpregnantwoman,3738,3757,3822,macro-expression
s15,15_0402beatingpregnantwoman,3761,3771,3779,macro-expression
s15,15_0101disgustingteeth,1195,1218,1266,macro-expression
s15,15_0102eatingworms,396,401,430,macro-expression
s15,15_0102eatingworms,407,414,435,macro-expression
s15,15_0102eatingworms,699,703,707,micro-expression
s15,15_0102eatingworms,781,790,802,macro-expression
s15,15_0502funnyerrors,138,142,148,micro-expression
s15,15_0502funnyerrors,178,190,202,macro-expression
s15,15_0502funnyerrors,2203,2218,2227,macro-expression
s15,15_0503unnyfarting,2457,2476,2510,macro-expression
s15,15_0505funnyinnovations,1403,1412,1436,macro-expression
s16,16_0401girlcrashing,554,569,617,macro-expression
s16,16_0401girlcrashing,1656,1675,1700,macro-expression
s16,16_0401girlcrashing,1741,1758,1780,macro-expression
s16,16_0401girlcrashing,3580,3589,3599,macro-expression
s16,16_0402beatingpregnantwoman,415,421,457,macro-expression
s16,16_0402beatingpregnantwoman,1382,1391,1416,macro-expression
s16,16_0402beatingpregnantwoman,1540,1555,1577,macro-expression
s16,16_0402beatingpregnantwoman,1865,1881,1911,macro-expression
s16,16_0402beatingpregnantwoman,2149,2162,2210,macro-expression
s16,16_0402beatingpregnantwoman,2712,2724,2752,macro-expression
s16,16_0402beatingpregnantwoman,2905,2912,2937,macro-expression
s16,16_0402beatingpregnantwoman,3409,3421,3461,macro-expression
s16,16_0402beatingpregnantwoman,3932,3943,3954,macro-expression
s16,16_0101disgustingteeth,167,184,199,macro-expression
s16,16_0101disgustingteeth,333,346,359,macro-expression
s16,16_0101disgustingteeth,552,559,565,micro-expression
s16,16_0101disgustingteeth,697,715,725,macro-expression
s16,16_0101disgustingteeth,915,942,965,macro-expression
s16,16_0101disgustingteeth,1228,1237,1284,macro-expression
s16,16_0101disgustingteeth,1792,1799,1836,macro-expression
s16,16_0101disgustingteeth,1794,1808,1842,macro-expression
s16,16_0102eatingworms,187,214,240,macro-expression
s16,16_0102eatingworms,173,186,248,macro-expression
s16,16_0102eatingworms,270,275,278,micro-expression
s16,16_0102eatingworms,317,354,400,macro-expression
s16,16_0102eatingworms,322,334,356,macro-expression
s16,16_0102eatingworms,322,334,359,macro-expression
s16,16_0102eatingworms,420,430,445,macro-expression
s16,16_0102eatingworms,526,535,543,macro-expression
s16,16_0102eatingworms,720,727,741,macro-expression
s16,16_0502funnyerrors,323,329,334,micro-expression
s16,16_0502funnyerrors,338,347,373,macro-expression
s16,16_0502funnyerrors,850,880,894,macro-expression
s16,16_0502funnyerrors,1098,1114,1148,macro-expression
s16,16_0502funnyerrors,1405,1415,1441,macro-expression
s16,16_0502funnyerrors,1470,1480,1523,macro-expression
s16,16_0502funnyerrors,2193,2207,2220,macro-expression
s16,16_0505funnyinnovations,68,77,89,macro-expression
s16,16_0505funnyinnovations,396,400,407,micro-expression
s16,16_0505funnyinnovations,991,997,1003,macro-expression
s16,16_0505funnyinnovations,1135,1148,1205,macro-expression
s16,16_0505funnyinnovations,1352,1358,1388,macro-expression
s16,16_0505funnyinnovations,1595,1604,1615,macro-expression
s16,16_0505funnyinnovations,1610,1625,1678,macro-expression
s16,16_0505funnyinnovations,1695,1703,1710,micro-expression
s16,16_0505funnyinnovations,1880,1886,1895,micro-expression
s16,16_0505funnyinnovations,1902,1915,1952,macro-expression
s16,16_0505funnyinnovations,2239,2261,2295,macro-expression
s16,16_0507climbingthewall,844,858,870,macro-expression
s16,16_0507climbingthewall,1571,1584,1633,macro-expression
s16,16_0507climbingthewall,1958,1961,1968,micro-expression
s16,16_0507climbingthewall,2285,2291,2295,micro-expression
s16,16_0507climbingthewall,2338,2344,2411,macro-expression
s16,16_0507climbingthewall,3169,3180,3215,macro-expression
s19,19_0102eatingworms,822,841,865,macro-expression
s19,19_0102eatingworms,887,897,926,macro-expression
s19,19_0402beatingpregnantwoman,1927,1933,1942,micro-expression
s19,19_0505funnyinnovations,1755,1771,1808,macro-expression
s19,19_0507climbingthewall,2977,2986,3039,macro-expression
s20,20_0502funnyerrors,981,993,999,macro-expression
s20,20_0502funnyerrors,1125,1137,1161,macro-expression
s20,20_0502funnyerrors,1403,1432,1499,macro-expression
s21,21_0401girlcrashing,3379,3386,3411,macro-expression
s21,21_0101disgustingteeth,169,177,191,macro-expression
s22,22_0402beatingpregnantwoman,3246,3270,3294,macro-expression
s22,22_0101disgustingteeth,366,376,393,macro-expression
s22,22_0101disgustingteeth,380,391,402,macro-expression
s22,22_0101disgustingteeth,510,525,540,macro-expression
s22,22_0101disgustingteeth,1562,1571,1580,macro-expression
s22,22_0101disgustingteeth,1573,1578,1583,macro-expression
s22,22_0101disgustingteeth,1645,1650,1655,macro-expression
s22,22_0101disgustingteeth,1706,1716,1728,macro-expression
s22,22_0101disgustingteeth,1752,1760,1768,macro-expression
s22,22_0101disgustingteeth,1822,1840,1855,macro-expression
s22,22_0101disgustingteeth,1915,1927,1941,macro-expression
s22,22_0102eatingworms,301,316,320,macro-expression
s22,22_0102eatingworms,321,337,353,macro-expression
s22,22_0102eatingworms,904,912,920,macro-expression
s22,22_0503unnyfarting,2758,2774,2790,macro-expression
s22,22_0508funnydunkey,81,115,149,macro-expression
s23,23_0402beatingpregnantwoman,3685,3701,3719,macro-expression
s23,23_0402beatingpregnantwoman,3799,3811,3818,macro-expression
s23,23_0402beatingpregnantwoman,3879,3891,3903,macro-expression
s23,23_0102eatingworms,331,335,346,micro-expression
s23,23_0102eatingworms,526,530,540,micro-expression
s23,23_0102eatingworms,727,732,740,micro-expression
s23,23_0102eatingworms,913,925,940,macro-expression
s23,23_0102eatingworms,997,1002,1015,macro-expression
s23,23_0507climbingthewall,2744,2753,2764,macro-expression
s24,24_0401girlcrashing,355,362,385,macro-expression
s24,24_0401girlcrashing,434,441,450,macro-expression
s24,24_0401girlcrashing,608,615,621,micro-expression
s24,24_0401girlcrashing,963,967,977,micro-expression
s24,24_0401girlcrashing,1262,1269,1276,macro-expression
s24,24_0401girlcrashing,1890,1898,1902,micro-expression
s24,24_0401girlcrashing,1903,1916,1950,macro-expression
s24,24_0401girlcrashing,2181,2187,2193,micro-expression
s24,24_0401girlcrashing,2208,2266,2276,macro-expression
s24,24_0401girlcrashing,2543,2565,2576,macro-expression
s24,24_0401girlcrashing,3411,3424,3440,macro-expression
s24,24_0401girlcrashing,3441,3447,3453,micro-expression
s24,24_0402beatingpregnantwoman,3297,3309,3342,macro-expression
s24,24_0402beatingpregnantwoman,3553,3563,3599,macro-expression
s24,24_0101disgustingteeth,1356,1364,1380,macro-expression
s24,24_0101disgustingteeth,1383,1389,1419,macro-expression
s24,24_0502funnyerrors,852,858,869,macro-expression
s24,24_0502funnyerrors,1078,1094,1101,macro-expression
s24,24_0502funnyerrors,1584,1597,1630,macro-expression
s24,24_0502funnyerrors,1863,1875,1889,macro-expression
s24,24_0507climbingthewall,832,848,881,macro-expression
s24,24_0507climbingthewall,1421,1431,1464,macro-expression
s24,24_0507climbingthewall,1648,1658,1668,macro-expression
s24,24_0507climbingthewall,1664,1682,1703,macro-expression
s24,24_0507climbingthewall,1836,1842,1848,micro-expression
s24,24_0507climbingthewall,1858,1865,1882,macro-expression
s24,24_0507climbingthewall,1951,1957,1965,micro-expression
s24,24_0507climbingthewall,2005,2015,2044,macro-expression
s24,24_0507climbingthewall,2229,2237,2247,macro-expression
s24,24_0507climbingthewall,2691,2697,2746,macro-expression
s24,24_0507climbingthewall,3168,3181,3223,macro-expression
s24,24_0507climbingthewall,3233,3239,3248,micro-expression
s25,25_0101disgustingteeth,113,118,127,micro-expression
s25,25_0102eatingworms,470,478,490,macro-expression
s25,25_0102eatingworms,996,1003,1008,micro-expression
s25,25_0102eatingworms,1008,1013,1017,micro-expression
s25,25_0102eatingworms,1018,1024,1034,micro-expression
s25,25_0502funnyerrors,841,872,913,macro-expression
s25,25_0502funnyerrors,945,966,984,macro-expression
s25,25_0508funnydunkey,123,140,167,macro-expression
s25,25_0508funnydunkey,189,203,217,macro-expression
s26,26_0401girlcrashing,575,588,622,macro-expression
s26,26_0101disgustingteeth,1014,1017,1040,macro-expression
s26,26_0102eatingworms,308,321,345,macro-expression
s26,26_0102eatingworms,428,434,447,macro-expression
s26,26_0503unnyfarting,408,438,468,macro-expression
s26,26_0503unnyfarting,1727,1735,1757,macro-expression
s27,27_0401girlcrashing,352,357,365,micro-expression
s27,27_0401girlcrashing,369,374,382,micro-expression
s27,27_0401girlcrashing,1135,1139,1147,micro-expression
s27,27_0401girlcrashing,1152,1162,1177,macro-expression
s27,27_0401girlcrashing,1682,1702,1733,macro-expression
s27,27_0401girlcrashing,1974,1979,1986,micro-expression
s27,27_0401girlcrashing,2158,2168,2182,macro-expression
s27,27_0401girlcrashing,2241,2247,2258,macro-expression
s27,27_0402beatingpregnantwoman,2632,2641,2653,macro-expression
s27,27_0402beatingpregnantwoman,3727,3733,3745,macro-expression
s27,27_0101disgustingteeth,417,428,473,macro-expression
s27,27_0101disgustingteeth,874,880,888,micro-expression
s27,27_0101disgustingteeth,890,897,911,macro-expression
s27,27_0101disgustingteeth,1201,1207,1220,macro-expression
s27,27_0101disgustingteeth,1221,1230,1224,macro-expression
s27,27_0101disgustingteeth,1703,1713,1722,macro-expression
s27,27_0102eatingworms,34,39,48,micro-expression
s27,27_0102eatingworms,309,314,317,micro-expression
s27,27_0102eatingworms,314,321,332,macro-expression
s27,27_0102eatingworms,374,377,388,micro-expression
s27,27_0102eatingworms,439,444,457,macro-expression
s27,27_0102eatingworms,452,463,509,macro-expression
s27,27_0102eatingworms,553,559,572,macro-expression
s27,27_0102eatingworms,795,804,818,macro-expression
s27,27_0102eatingworms,1053,1061,1074,macro-expression
s27,27_0502funnyerrors,169,183,251,macro-expression
s27,27_0502funnyerrors,329,341,353,macro-expression
s27,27_0502funnyerrors,558,569,599,macro-expression
s27,27_0502funnyerrors,613,619,628,micro-expression
s27,27_0502funnyerrors,1081,1102,1133,macro-expression
s27,27_0502funnyerrors,1438,1451,1465,macro-expression
s27,27_0502funnyerrors,2187,2203,2219,macro-expression
s27,27_0503unnyfarting,359,368,394,macro-expression
s27,27_0503unnyfarting,419,423,432,micro-expression
s27,27_0503unnyfarting,2225,2234,2271,macro-expression
s27,27_0505funnyinnovations,1122,1184,1234,macro-expression
s27,27_0505funnyinnovations,1758,1779,1813,macro-expression
s27,27_0505funnyinnovations,1918,1938,1982,macro-expression
s27,27_0507climbingthewall,901,908,919,macro-expression
s27,27_0507climbingthewall,876,883,890,micro-expression
s27,27_0507climbingthewall,2677,2682,2702,macro-expression
s27,27_0507climbingthewall,3187,3200,3212,macro-expression
s27,27_0508funnydunkey,179,200,243,macro-expression
s29,29_0502funnyerrors,140,143,152,micro-expression
s30,30_0401girlcrashing,395,415,422,macro-expression
s30,30_0401girlcrashing,926,933,941,micro-expression
s30,30_0401girlcrashing,1581,1601,1622,macro-expression
s30,30_0401girlcrashing,2983,2994,3021,macro-expression
s30,30_0101disgustingteeth,1455,1460,1466,micro-expression
s30,30_0102eatingworms,337,357,385,macro-expression
s30,30_0102eatingworms,761,785,804,macro-expression
s30,30_0502funnyerrors,167,179,197,macro-expression
s30,30_0502funnyerrors,331,347,410,macro-expression
s30,30_0502funnyerrors,846,859,895,macro-expression
s30,30_0502funnyerrors,1172,1195,1218,macro-expression
s30,30_0502funnyerrors,1569,1582,1614,macro-expression
s30,30_0502funnyerrors,1918,1936,1954,macro-expression
s30,30_0503unnyfarting,1419,1438,1457,macro-expression
s30,30_0503unnyfarting,1547,1562,1577,macro-expression
s30,30_0505funnyinnovations,1141,1166,1191,macro-expression
s30,30_0505funnyinnovations,2232,2259,2302,macro-expression
s30,30_0507climbingthewall,1680,1691,1698,macro-expression
s30,30_0507climbingthewall,3179,3193,3207,macro-expression
s31,31_0401girlcrashing,515,523,534,macro-expression
s31,31_0401girlcrashing,2850,2862,2876,macro-expression
s31,31_0401girlcrashing,3337,3351,3383,macro-expression
s31,31_0402beatingpregnantwoman,863,870,888,macro-expression
s31,31_0402beatingpregnantwoman,1689,1694,1702,micro-expression
s31,31_0402beatingpregnantwoman,2123,2139,2156,macro-expression
s31,31_0402beatingpregnantwoman,2190,2197,2204,micro-expression
s31,31_0402beatingpregnantwoman,2205,2213,2226,macro-expression
s31,31_0402beatingpregnantwoman,2377,2383,2389,micro-expression
s31,31_0402beatingpregnantwoman,2395,2413,2450,macro-expression
s31,31_0402beatingpregnantwoman,3277,3296,3351,macro-expression
s31,31_0402beatingpregnantwoman,3479,3493,3509,macro-expression
s31,31_0402beatingpregnantwoman,3803,3808,3815,micro-expression
s31,31_0101disgustingteeth,382,412,457,macro-expression
s31,31_0101disgustingteeth,555,572,611,macro-expression
s31,31_0101disgustingteeth,726,756,843,macro-expression
s31,31_0101disgustingteeth,836,852,886,macro-expression
s31,31_0101disgustingteeth,1089,1107,1140,macro-expression
s31,31_0101disgustingteeth,1150,1157,1169,macro-expression
s31,31_0101disgustingteeth,1421,1426,1433,micro-expression
s31,31_0101disgustingteeth,1561,1582,1601,macro-expression
s31,31_0101disgustingteeth,1631,1640,1649,macro-expression
s31,31_0502funnyerrors,1595,1616,1653,macro-expression
s31,31_0503unnyfarting,2169,2203,2202,macro-expression
s31,31_0505funnyinnovations,1046,1054,1059,micro-expression
s31,31_0505funnyinnovations,2242,2253,2279,macro-expression
s31,31_0507climbingthewall,768,775,793,macro-expression
s31,31_0507climbingthewall,834,841,857,macro-expression
s31,31_0507climbingthewall,1500,1520,1540,macro-expression
s31,31_0507climbingthewall,1565,1580,1586,macro-expression
s31,31_0507climbingthewall,2247,2268,2289,macro-expression
s31,31_0507climbingthewall,3114,3125,3144,macro-expression
s32,32_0401girlcrashing,268,272,278,micro-expression
s32,32_0401girlcrashing,302,314,322,macro-expression
s32,32_0401girlcrashing,344,348,360,macro-expression
s32,32_0401girlcrashing,406,416,439,macro-expression
s32,32_0401girlcrashing,562,587,609,macro-expression
s32,32_0401girlcrashing,874,886,897,macro-expression
s32,32_0401girlcrashing,1310,1331,1363,macro-expression
s32,32_0401girlcrashing,1518,1529,1560,macro-expression
s32,32_0401girlcrashing,1650,1660,1674,macro-expression
s32,32_0401girlcrashing,1692,1716,1742,macro-expression
s32,32_0401girlcrashing,2249,2277,2335,macro-expression
s32,32_0401girlcrashing,2407,2455,2451,macro-expression
s32,32_0401girlcrashing,2796,2811,2845,macro-expression
s32,32_0401girlcrashing,2912,2918,2961,macro-expression
s32,32_0401girlcrashing,3173,3180,3197,macro-expression
s32,32_0402beatingpregnantwoman,1531,1538,1550,macro-expression
s32,32_0402beatingpregnantwoman,2270,2281,2295,macro-expression
s32,32_0402beatingpregnantwoman,2774,2783,2802,macro-expression
s32,32_0402beatingpregnantwoman,3200,3210,3220,macro-expression
s32,32_0402beatingpregnantwoman,3396,3405,3426,macro-expression
s32,32_0402beatingpregnantwoman,3745,3772,3807,macro-expression
s32,32_0402beatingpregnantwoman,3999,4031,4073,macro-expression
s32,32_0101disgustingteeth,885,898,919,macro-expression
s32,32_0101disgustingteeth,1234,1244,1250,macro-expression
s32,32_0102eatingworms,780,789,802,macro-expression
s32,32_0502funnyerrors,139,152,194,macro-expression
s32,32_0502funnyerrors,311,320,324,micro-expression
s32,32_0502funnyerrors,325,330,345,macro-expression
s32,32_0502funnyerrors,404,410,416,macro-expression
s32,32_0502funnyerrors,858,873,909,macro-expression
s32,32_0502funnyerrors,1171,1175,1184,micro-expression
s32,32_0502funnyerrors,1570,1590,1609,macro-expression
s32,32_0502funnyerrors,2203,2218,2229,macro-expression
s32,32_0503unnyfarting,258,264,272,micro-expression
s32,32_0503unnyfarting,258,279,319,macro-expression
s32,32_0503unnyfarting,349,363,416,macro-expression
s32,32_0503unnyfarting,656,666,716,macro-expression
s32,32_0503unnyfarting,729,739,755,macro-expression
s32,32_0503unnyfarting,748,777,820,macro-expression
s32,32_0503unnyfarting,1031,1037,1044,micro-expression
s32,32_0503unnyfarting,1082,1105,1143,macro-expression
s32,32_0503unnyfarting,1552,1567,1586,macro-expression
s32,32_0503unnyfarting,1559,1579,1611,macro-expression
s32,32_0503unnyfarting,1751,1764,1780,macro-expression
s32,32_0503unnyfarting,2077,2092,2132,macro-expression
s32,32_0503unnyfarting,2454,2465,2500,macro-expression
s32,32_0503unnyfarting,2663,2683,2728,macro-expression
s32,32_0505funnyinnovations,1362,1374,1380,macro-expression
s32,32_0505funnyinnovations,1382,1391,1405,macro-expression
s32,32_0505funnyinnovations,1709,1726,1750,macro-expression
s32,32_0505funnyinnovations,2212,2234,2272,macro-expression
s32,32_0507climbingthewall,1646,1671,1743,macro-expression
s32,32_0507climbingthewall,2332,2338,2348,macro-expression
s32,32_0508funnydunkey,286,291,301,micro-expression
s33,33_0402beatingpregnantwoman,3682,3689,3699,macro-expression
s33,33_0402beatingpregnantwoman,4328,4343,4356,macro-expression
s33,33_0102eatingworms,56,66,76,macro-expression
s33,33_0102eatingworms,108,117,130,macro-expression
s34,34_0401girlcrashing,1763,0,1787,macro-expression
s34,34_0402beatingpregnantwoman,2170,2185,2200,macro-expression
s34,34_0503unnyfarting,990,1015,1042,macro-expression
s35,35_0102eatingworms,100,106,113,micro-expression
s35,35_0102eatingworms,363,367,371,micro-expression
s36,36_0401girlcrashing,106,130,145,macro-expression
s36,36_0505funnyinnovations,348,373,398,macro-expression
s36,36_0505funnyinnovations,566,582,598,macro-expression
s36,36_0505funnyinnovations,1074,1087,1095,macro-expression
s37,37_0402beatingpregnantwoman,2783,2794,2810,macro-expression
s37,37_0402beatingpregnantwoman,3045,3056,3066,macro-expression
s37,37_0402beatingpregnantwoman,3176,3189,3200,macro-expression
s37,37_0402beatingpregnantwoman,3397,3405,3413,macro-expression
s37,37_0402beatingpregnantwoman,3502,3508,3514,micro-expression
s37,37_0101disgustingteeth,1289,1296,1310,macro-expression
s37,37_0502funnyerrors,851,861,875,macro-expression
s37,37_0502funnyerrors,1858,1868,1878,macro-expression
s37,37_0505funnyinnovations,414,423,432,macro-expression
s37,37_0505funnyinnovations,1167,1182,1197,macro-expression
s37,37_0505funnyinnovations,1468,1490,1509,macro-expression
s37,37_0505funnyinnovations,1511,1526,1541,macro-expression
s37,37_0505funnyinnovations,1941,1963,1974,macro-expression
s37,37_0505funnyinnovations,2229,2242,2269,macro-expression
s37,37_0507climbingthewall,846,861,876,macro-expression
s37,37_0507climbingthewall,1571,1587,1680,macro-expression
s37,37_0507climbingthewall,1751,1762,1773,macro-expression
s37,37_0507climbingthewall,2020,2044,2074,macro-expression
s37,37_0507climbingthewall,2341,2357,2400,macro-expression
s37,37_0507climbingthewall,2688,2709,2752,macro-expression
s37,37_0508funnydunkey,233,244,255,macro-expression
s37,37_0508funnydunkey,322,333,344,macro-expression
s37,37_0508funnydunkey,418,423,430,micro-expression
s38,38_0502funnyerrors,329,342,355,macro-expression
s38,38_0502funnyerrors,878,888,922,macro-expression
s38,38_0502funnyerrors,962,968,981,macro-expression
s38,38_0502funnyerrors,1189,1197,1205,macro-expression
s38,38_0502funnyerrors,1782,1800,1841,macro-expression
s38,38_0502funnyerrors,1869,1882,1895,macro-expression
s38,38_0507climbingthewall,1242,1250,1263,macro-expression
s38,38_0507climbingthewall,1377,1390,1422,macro-expression
s38,38_0507climbingthewall,1664,1675,1703,macro-expression
s38,38_0507climbingthewall,1775,1790,1809,macro-expression
s38,38_0507climbingthewall,1870,1881,1911,macro-expression
s38,38_0507climbingthewall,2232,2239,2247,micro-expression
s40,40_0401girlcrashing,392,400,415,macro-expression
s40,40_0401girlcrashing,592,602,613,macro-expression
s40,40_0502funnyerrors,601,613,625,macro-expression
s40,40_0502funnyerrors,1598,1613,1628,macro-expression
s40,40_0503unnyfarting,2692,2707,2722,macro-expression
